match_id,group,team_a,team_b,p_team_a_win,p_draw,p_team_b_win,pick_cn,pick_probability,actual_result,correct,actual_outcome_probability,brier_score,log_loss,risk_level,draw_risk_level,model_version
1,A,Mexico,South Africa,0.7230474918843612,0.1961271152128837,0.0808253929027549,Mexico win,0.7230474918843612,team_a_win,True,0.7230474918843612,0.12170128121115541,0.32428037172707386,low,low,v2
2,A,South Korea,Czechia,0.3696002043579821,0.348663236501979,0.2817365591400387,South Korea win,0.3696002043579821,team_a_win,True,0.3696002043579821,0.5983454435896015,0.9953333862981426,high,high,v2
5,B,Qatar,Switzerland,0.0585994394317308,0.1666789385729933,0.7747216219952757,Switzerland win,0.7747216219952757,draw,False,0.1666789385729933,1.298051477306537,1.7916858405007565,low,low,v2
6,C,Brazil,Morocco,0.3750233712800377,0.3468587100744833,0.278117918645479,Brazil win,0.3750233712800377,draw,False,0.3468587100744833,0.6445856502835061,1.0588377575316203,high,high,v2
7,C,Haiti,Scotland,0.1098523071632698,0.228298380722545,0.6618493121141852,Scotland win,0.6618493121141852,team_b_win,True,0.6618493121141852,0.17853356774727924,0.4127173741608362,low,medium,v2
10,F,Netherlands,Japan,0.5324420253929222,0.2878595499207046,0.1796984246863732,Netherlands win,0.5324420253929222,draw,False,0.2878595499207046,0.8229300548784227,1.2452825916842178,medium,high,v2
12,F,Sweden,Tunisia,0.4930633988323039,0.3039103869240674,0.2030262142436287,Sweden win,0.4930633988323039,team_a_win,True,0.4930633988323039,0.390565884553892,0.7071175151703382,high,high,v2
14,G,Belgium,Egypt,0.6241683737291083,0.2467745177951759,0.1290571084757157,Belgium win,0.6241683737291083,draw,False,0.2467745177951759,0.9735905230544423,1.3992802427063293,medium,medium,v2
15,H,Saudi Arabia,Uruguay,0.0470898567248587,0.1490421509074375,0.8038679923677038,Uruguay win,0.8038679923677038,draw,False,0.1490421509074375,1.3725504646918907,1.903526121046849,low,low,v2
17,I,France,Senegal,0.6430965778845692,0.2376152550654255,0.1192881670500053,France win,0.6430965778845692,team_a_win,True,0.6430965778845692,0.19807072895566258,0.4414603671358863,medium,medium,v2
18,I,Iraq,Norway,0.0990449093197692,0.216992752229863,0.6839623384503677,Norway win,0.6839623384503677,team_b_win,True,0.6839623384503677,0.15677555210021196,0.37985242362056154,low,low,v2
19,J,Argentina,Algeria,0.7757444480966862,0.1660731406355409,0.0581824112677729,Argentina win,0.7757444480966862,team_a_win,True,0.7757444480966862,0.08125603358094428,0.2539321324995139,low,low,v2
20,J,Austria,Jordan,0.7183464406158224,0.1986984612932545,0.0829550980909231,Austria win,0.7183464406158224,team_a_win,True,0.7183464406158224,0.12569135433335807,0.3308033184819008,low,low,v2
22,L,England,Croatia,0.5317744512407007,0.2881393363997531,0.1800862123595463,England win,0.5317744512407007,team_a_win,True,0.5317744512407007,0.3346904855738447,0.631535843371838,medium,high,v2
23,L,Ghana,Panama,0.2166908565211583,0.3126342193813021,0.4706749240975396,Panama win,0.4706749240975396,team_a_win,False,0.2166908565211583,0.9328482535599374,1.529283565510188,high,high,v2
24,K,Uzbekistan,Colombia,0.0866702503432531,0.2030950244674196,0.7102347251893272,Colombia win,0.7102347251893272,team_b_win,True,0.7102347251893272,0.13272323574408867,0.34215976472432985,low,low,v2
25,A,Czechia,South Africa,0.5495123645415236,0.2806133743913671,0.1698742610671093,Czechia win,0.5495123645415236,draw,False,0.2806133743913671,0.8483382204616883,1.2707774489023662,medium,high,v2
27,B,Canada,Qatar,0.6180159010803858,0.2496997463978049,0.1322843525218092,Canada win,0.6180159010803858,team_a_win,True,0.6180159010803858,0.22576096510067195,0.4812410919519176,medium,medium,v2
28,A,Mexico,South Korea,0.4599220894368798,0.3167235810638924,0.2233543294992277,Mexico win,0.4599220894368798,team_a_win,True,0.4599220894368798,0.4418851327862112,0.7766981746332401,high,high,v2
30,C,Scotland,Morocco,0.1068710264248851,0.2252506446220681,0.6678783289530468,Morocco win,0.6678783289530468,team_b_win,True,0.6678783289530468,0.1724640735707863,0.40364926432127013,low,medium,v2
31,C,Brazil,Haiti,0.8904218706542699,0.0914255074194279,0.0181526219263021,Brazil win,0.8904218706542699,team_a_win,True,0.8904218706542699,0.02069550752060868,0.11605991659304722,low,low,v2
33,F,Netherlands,Sweden,0.6688626707820874,0.2247505983815539,0.1063867308363586,Netherlands win,0.6688626707820874,team_a_win,True,0.6688626707820874,0.1714828987724866,0.40217651528887777,low,medium,v2
36,F,Tunisia,Japan,0.1233562267989357,0.2414867368950219,0.6351570363060423,Japan win,0.6351570363060423,team_b_win,True,0.6351570363060423,0.20664299094326655,0.4538830093940059,medium,medium,v2
