model_version,n_matches,accuracy,mean_brier_score,mean_log_loss,mean_actual_outcome_probability,goal_mae,goal_rmse
random_uniform,1989,0.48366013071895425,0.6666666666666666,1.0986122886681096,0.33333333333333326,,
historical_frequency,1989,0.48366013071895425,0.6315120594459254,1.0480562914440483,0.3677330426836652,,
elo_only,1989,0.6058320764203117,0.532198046279932,0.9054863503183759,0.44560484709518733,,
final_model,1989,0.6058320764203117,0.5221322465537835,0.8888611799772524,0.47505564813002277,0.9775923798297971,1.279468121944167
