team_name,fifa_code,group_letter,simulations,group_rank_1_probability,group_rank_2_probability,group_rank_3_probability,group_rank_4_probability,qualification_probability,r32_probability,r16_probability,qf_probability,sf_probability,final_probability,champion_probability,model_version,model_status,parameter_config_path,rating_col,bracket_mode,bracket_source,uses_random_pairing,official_bracket,random_seed_used_for,bracket_mapping_note,qualified_top_2_probability,qualified_best_third_probability,average_points,average_goal_difference,group_rank_1_count,group_rank_2_count,group_rank_3_count,group_rank_4_count,qualified_top_2_count,qualified_best_third_count,qualified_count,r32_count,r16_count,qf_count,sf_count,final_count,champion_count
Germany,GER,E,100,0.52,0.34,0.14,0.0,0.98,0.98,0.67,0.39,0.2,0.08,0.02,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.86,0.12,6.37,3.79,52,34,14,0,86,12,98,98,67,39,20,8,2
Colombia,COL,K,100,0.44,0.41,0.12,0.03,0.93,0.93,0.48,0.34,0.19,0.07,0.02,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.85,0.08,5.93,2.73,44,41,12,3,85,8,93,93,48,34,19,7,2
Ecuador,ECU,E,100,0.28,0.4,0.26,0.06,0.89,0.89,0.43,0.17,0.09,0.05,0.02,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.68,0.21,5.25,1.75,28,40,26,6,68,21,89,89,43,17,9,5,2
Japan,JPN,F,100,0.26,0.45,0.17,0.12,0.85,0.85,0.35,0.14,0.07,0.04,0.01,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.71,0.14,4.98,1.16,26,45,17,12,71,14,85,85,35,14,7,4,1
IR Iran,IRN,G,100,0.2,0.4,0.35,0.05,0.93,0.93,0.48,0.22,0.09,0.02,0.01,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.6,0.33,4.9,1.5,20,40,35,5,60,33,93,93,48,22,9,2,1
Mexico,MEX,A,100,0.49,0.31,0.16,0.04,0.92,0.92,0.63,0.31,0.05,0.01,0.01,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.8,0.12,6.03,3.03,49,31,16,4,80,12,92,92,63,31,5,1,1
Turkey,TUR,D,100,0.34,0.33,0.17,0.16,0.79,0.79,0.46,0.19,0.02,0.01,0.01,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.67,0.12,4.73,0.81,34,33,17,16,67,12,79,79,46,19,2,1,1
Uruguay,URU,H,100,0.21,0.65,0.13,0.01,0.97,0.97,0.42,0.2,0.07,0.04,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.86,0.11,5.63,2.26,21,65,13,1,86,11,97,97,42,20,7,4,0
Switzerland,SUI,B,100,0.64,0.22,0.09,0.05,0.95,0.95,0.53,0.25,0.11,0.04,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.86,0.09,6.55,3.62,64,22,9,5,86,9,95,95,53,25,11,4,0
Norway,NOR,I,100,0.06,0.29,0.42,0.23,0.63,0.63,0.28,0.12,0.06,0.03,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.35,0.28,3.37,-1.15,6,29,42,23,35,28,63,63,28,12,6,3,0
