team_name,fifa_code,group_letter,simulations,group_rank_1_probability,group_rank_2_probability,group_rank_3_probability,group_rank_4_probability,qualified_top_2_probability,qualified_best_third_probability,qualification_probability,average_points,average_goal_difference,group_rank_1_count,group_rank_2_count,group_rank_3_count,group_rank_4_count,qualified_top_2_count,qualified_best_third_count,qualified_count
Algeria,ALG,J,10000,0.0956,0.325,0.381,0.1984,0.4206,0.2442,0.6648,3.6856,-0.8724,956,3250,3810,1984,4206,2442,6648
Jordan,JOR,J,10000,0.0162,0.1022,0.2447,0.6369,0.1184,0.12,0.2384,1.8006,-4.286,162,1022,2447,6369,1184,1200,2384
Portugal,POR,K,10000,0.5214,0.3252,0.1183,0.0351,0.8466,0.0974,0.944,6.1388,3.2189,5214,3252,1183,351,8466,974,9440
Colombia,COL,K,10000,0.3773,0.3956,0.1648,0.0623,0.7729,0.1287,0.9016,5.5227,2.1474,3773,3956,1648,623,7729,1287,9016
DR Congo,COD,K,10000,0.0545,0.1456,0.3603,0.4396,0.2001,0.2143,0.4144,2.5865,-2.5746,545,1456,3603,4396,2001,2143,4144
Uzbekistan,UZB,K,10000,0.0468,0.1336,0.3566,0.463,0.1804,0.2074,0.3878,2.4884,-2.7917,468,1336,3566,4630,1804,2074,3878
England,ENG,L,10000,0.6053,0.2991,0.0832,0.0124,0.9044,0.0718,0.9762,6.6979,4.3683,6053,2991,832,124,9044,718,9762
Croatia,CRO,L,10000,0.3209,0.445,0.1979,0.0362,0.7659,0.156,0.9219,5.5325,2.3287,3209,4450,1979,362,7659,1560,9219
Panama,PAN,L,10000,0.0659,0.2093,0.5066,0.2182,0.2752,0.3241,0.5993,3.3447,-1.4091,659,2093,5066,2182,2752,3241,5993
Ghana,GHA,L,10000,0.0079,0.0466,0.2123,0.7332,0.0545,0.0923,0.1468,1.3361,-5.2879,79,466,2123,7332,545,923,1468
