team_a,team_b,strength_a,strength_b,strength_diff,lambda_a,lambda_b,p_team_a_win,p_draw,p_team_b_win,top_5_scorelines
France,Morocco,1874.012,1762.774,111.23800000000006,1.754103804316646,1.1241262572521262,0.5211877827725608,0.23537709653227423,0.2434351206951654,"[{'scoreline': '1-1', 'probability': 0.11089489249131891}, {'scoreline': '1-0', 'probability': 0.09864985518832756}, {'scoreline': '2-1', 'probability': 0.09726057639915396}, {'scoreline': '2-0', 'probability': 0.08652104314056577}, {'scoreline': '0-1', 'probability': 0.06322025653123801}]"
France,Brazil,1874.012,1774.891,99.12099999999987,1.7086551434833006,1.1493799180854714,0.5045377613063099,0.23909743340654116,0.2563648052871487,"[{'scoreline': '1-1', 'probability': 0.11269976232848215}, {'scoreline': '1-0', 'probability': 0.09805266348850673}, {'scoreline': '2-1', 'probability': 0.09628251428595327}, {'scoreline': '2-0', 'probability': 0.08376909390093713}, {'scoreline': '0-1', 'probability': 0.06595816760234603}]"
France,Senegal,1874.012,1699.976,174.03599999999983,1.9905810907349692,0.9923123041671357,0.6054517937490393,0.21242973222951872,0.182118474021442,"[{'scoreline': '1-0', 'probability': 0.10083837991314487}, {'scoreline': '2-0', 'probability': 0.10036348613772757}, {'scoreline': '1-1', 'probability': 0.10006316512009382}, {'scoreline': '2-1', 'probability': 0.09959192218357484}, {'scoreline': '3-0', 'probability': 0.06659388590200058}]"
Morocco,Brazil,1762.774,1774.891,-12.11700000000019,1.323646866320883,1.3893815285812228,0.35623601420063794,0.25730580294855004,0.38645818285081185,"[{'scoreline': '1-1', 'probability': 0.12199769733764552}, {'scoreline': '0-1', 'probability': 0.09216785869537988}, {'scoreline': '1-0', 'probability': 0.08780719681959813}, {'scoreline': '1-2', 'probability': 0.08475067360518367}, {'scoreline': '2-1', 'probability': 0.08074093488966902}]"
Morocco,Spain,1762.774,1891.505,-128.73100000000022,1.0874781230885722,1.8199069384802,0.22535168087685595,0.22956276170293555,0.5450855574202083,"[{'scoreline': '1-1', 'probability': 0.10810881053161613}, {'scoreline': '0-1', 'probability': 0.09941240033829254}, {'scoreline': '1-2', 'probability': 0.09837398719866478}, {'scoreline': '0-2', 'probability': 0.09046065857331502}, {'scoreline': '1-3', 'probability': 0.05967716728960413}]"
Brazil,Spain,1774.891,1891.505,-116.61400000000003,1.112883009153295,1.7743070524154771,0.2378018811527218,0.23364423639712806,0.5285538824501502,"[{'scoreline': '1-1', 'probability': 0.1100605240305001}, {'scoreline': '0-1', 'probability': 0.09889676014933184}, {'scoreline': '1-2', 'probability': 0.0976405819899297}, {'scoreline': '0-2', 'probability': 0.0877366094970007}, {'scoreline': '1-0', 'probability': 0.06203014516606226}]"
Germany,Curacao,1751.841,1358.385,393.4559999999999,2.7737338925868764,0.5748595023152291,0.8290981765242242,0.11813334760381274,0.05276847587196341,"[{'scoreline': '2-0', 'probability': 0.1354622278252529}, {'scoreline': '3-0', 'probability': 0.12524539082807637}, {'scoreline': '1-0', 'probability': 0.09767499916793845}, {'scoreline': '4-0', 'probability': 0.08684934635753123}, {'scoreline': '2-1', 'probability': 0.07787174887013706}]"
