favorite_win_probability_bin,n_matches,avg_predicted_favorite_win_prob,actual_favorite_win_rate
0.40-0.50,428,0.45065427822595316,0.45093457943925236
0.50-0.60,432,0.5487363285425152,0.5439814814814815
0.60-0.70,450,0.6490882840909995,0.6377777777777778
0.70-0.80,377,0.7443759560050845,0.7374005305039788
0.80-0.90,169,0.8390873774378435,0.9171597633136095
0.90-1.00,8,0.9130291943171578,1.0
