base_total_goals,share_scale,mismatch_total_bonus,mismatch_scale,draw_boost_max,draw_boost_scale,status,error,n_matches,accuracy,mean_brier_score,mean_log_loss,mean_actual_outcome_probability,predicted_draw_rate,actual_draw_rate,draw_calibration_error,goal_mae,goal_rmse
2.55,220,0.9,650,0.015,300,ok,,866,0.6004618937644342,0.5299366427481284,0.8986063961287718,0.4702226804799241,0.21887792347967772,0.22632794457274827,0.007450021093070552,0.941423565913288,1.2511784027912847
2.45,220,0.9,650,0.045,100,ok,,866,0.6004618937644342,0.5298894460702418,0.8986080312334173,0.467740105410495,0.22921199634494677,0.22632794457274827,0.002884051772198498,0.9330071175093465,1.2505617844221188
2.45,220,0.9,500,0.025,100,ok,,866,0.6004618937644342,0.5299525773031302,0.8986094787948755,0.47138278892006785,0.218629859302473,0.22632794457274827,0.007698085270275268,0.9376889806673158,1.2500031302840564
2.55,220,0.7,800,0.045,100,ok,,866,0.6004618937644342,0.529857998242778,0.8986111294037403,0.46852493788831434,0.2260928752099471,0.22632794457274827,0.0002350693628011824,0.9382060150410538,1.252854600027889
2.45,220,0.9,650,0.015,150,ok,,866,0.6004618937644342,0.5298718885631867,0.8986116405615908,0.46861097977165084,0.22202002854821182,0.22632794457274827,0.004307916024536451,0.9330071175093465,1.2505617844221188
2.55,220,0.7,800,0.035,100,ok,,866,0.6004618937644342,0.5298511858546524,0.8986121289882522,0.46896869253921036,0.22314933183786065,0.22632794457274827,0.0031786127348876203,0.9382060150410538,1.252854600027889
2.55,220,0.9,800,0.035,150,ok,,866,0.6004618937644342,0.5298723144428925,0.898614275583325,0.4679104479265922,0.2269623546177946,0.22632794457274827,0.0006344100450463297,0.9381916067814225,1.2522903431141248
2.65,220,0.9,500,0.035,220,ok,,866,0.6004618937644342,0.5301024935873848,0.8986148691580268,0.4734404355150891,0.21795817580982024,0.22632794457274827,0.008369768762928026,0.9584881020836582,1.2574720667583579
2.65,220,0.9,800,0.045,100,ok,,866,0.6004618937644342,0.529920100449143,0.8986171980884949,0.4710931200186136,0.2201748789834894,0.22632794457274827,0.006153065589258877,0.947448973606558,1.2539702558394816
2.65,220,0.9,650,0.025,220,ok,,866,0.6004618937644342,0.5300102286194444,0.8986188772980666,0.47204162308437386,0.21698468152816922,0.22632794457274827,0.009343263044579053,0.951383798294315,1.25412365511037
2.55,220,0.7,650,0.045,150,ok,,866,0.6004618937644342,0.5299372108632856,0.8986197005475335,0.46887323607336334,0.22809634923006533,0.22632794457274827,0.001768404657317063,0.9414236110249639,1.2526050603711958
2.55,220,0.9,800,0.025,220,ok,,866,0.6004618937644342,0.5298770671567035,0.8986215605812353,0.46778073883167565,0.22568739340072053,0.22632794457274827,0.0006405511720277424,0.9381916067814225,1.2522903431141248
2.45,220,0.9,650,0.035,150,ok,,866,0.6004618937644342,0.5299063919676275,0.8986221699673096,0.46711464735476493,0.23009199838508387,0.22632794457274827,0.003764053812335605,0.9330071175093465,1.2505617844221188
2.55,220,0.9,650,0.045,220,ok,,866,0.6004618937644342,0.5299853186440374,0.8986226272336149,0.46736443239787145,0.23299878203674224,0.22632794457274827,0.006670837463993967,0.941423565913288,1.2511784027912847
2.65,220,0.9,800,0.025,220,ok,,866,0.6004618937644342,0.5299351511521541,0.8986227753982851,0.4703344273152442,0.21977991980655245,0.22632794457274827,0.006548024766195815,0.947448973606558,1.2539702558394816
2.75,220,0.9,650,0.035,220,ok,,866,0.6004618937644342,0.5300829335281858,0.8986251414234352,0.4732945050018866,0.216724727120105,0.22632794457274827,0.009603217452643281,0.9626992703269892,1.2593812039033963
2.55,220,0.7,800,0.035,150,ok,,866,0.6004618937644342,0.5298753466740138,0.8986268799365986,0.4678987573256739,0.22697287725008417,0.22632794457274827,0.0006449326773358965,0.9382060150410538,1.252854600027889
2.75,220,0.9,800,0.045,150,ok,,866,0.6004618937644342,0.5300011747404486,0.898628123680204,0.4721513947037718,0.21953107271051564,0.22632794457274827,0.0067968718622326285,0.9580686635797032,1.2579697251305795
2.65,220,0.7,800,0.045,100,ok,,866,0.6004618937644342,0.5299226999963977,0.898628806657428,0.4710822927481057,0.22018458690678114,0.22632794457274827,0.006143357665967131,0.9474633818661892,1.2545252641539633
2.55,220,0.7,650,0.035,100,ok,,866,0.6004618937644342,0.5299151542010162,0.8986306174672926,0.47069618408343106,0.2202368188994058,0.22632794457274827,0.006091125673342468,0.9414236110249639,1.2526050603711958
2.45,220,0.9,500,0.045,150,ok,,866,0.6004618937644342,0.5300099959148648,0.8986307039373155,0.4691165613639686,0.229432933005219,0.22632794457274827,0.003104988432470729,0.9376889806673158,1.2500031302840564
