team_name,fifa_code,group_letter,simulations,group_rank_1_probability,group_rank_2_probability,group_rank_3_probability,group_rank_4_probability,qualification_probability,r32_probability,r16_probability,qf_probability,sf_probability,final_probability,champion_probability,bracket_mode,bracket_source,uses_random_pairing,official_bracket,random_seed_used_for,bracket_mapping_note,qualified_top_2_probability,qualified_best_third_probability,average_points,average_goal_difference,group_rank_1_count,group_rank_2_count,group_rank_3_count,group_rank_4_count,qualified_top_2_count,qualified_best_third_count,qualified_count,r32_count,r16_count,qf_count,sf_count,final_count,champion_count
Colombia,COL,K,10000,0.3752,0.3889,0.1704,0.0655,0.8951,0.8951,0.507,0.2654,0.1184,0.0489,0.0194,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.7641,0.131,5.4917,2.1094,3752,3889,1704,655,7641,1310,8951,8951,5070,2654,1184,489,194
Uruguay,URU,H,10000,0.204,0.6012,0.1503,0.0445,0.9146,0.9146,0.3707,0.1988,0.1004,0.0407,0.0131,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.8052,0.1094,5.3572,1.9335,2040,6012,1503,445,8052,1094,9146,9146,3707,1988,1004,407,131
Senegal,SEN,I,10000,0.1888,0.4156,0.2794,0.1162,0.81,0.81,0.4836,0.218,0.1041,0.036,0.0129,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.6044,0.2056,4.5829,0.6451,1888,4156,2794,1162,6044,2056,8100,8100,4836,2180,1041,360,129
Switzerland,SUI,B,10000,0.5782,0.2596,0.1123,0.0499,0.9314,0.9314,0.58,0.2195,0.0934,0.0314,0.0094,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.8378,0.0936,6.2089,3.2537,5782,2596,1123,499,8378,936,9314,9314,5800,2195,934,314,94
Mexico,MEX,A,10000,0.5056,0.2704,0.155,0.069,0.906,0.906,0.5561,0.2552,0.0934,0.0308,0.009,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.776,0.13,5.7467,2.4656,5056,2704,1550,690,7760,1300,9060,9060,5561,2552,934,308,90
Ecuador,ECU,E,10000,0.2892,0.3861,0.2586,0.0661,0.8791,0.8791,0.4582,0.2174,0.0802,0.0281,0.0074,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.6753,0.2038,5.1186,1.6266,2892,3861,2586,661,6753,2038,8791,8791,4582,2174,802,281,74
Japan,JPN,F,10000,0.2755,0.3685,0.229,0.127,0.8147,0.8147,0.3464,0.1402,0.0571,0.0186,0.0054,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.644,0.1707,4.778,0.9573,2755,3685,2290,1270,6440,1707,8147,8147,3464,1402,571,186,54
Turkey,TUR,D,10000,0.3314,0.2798,0.2235,0.1653,0.7853,0.7853,0.4202,0.1948,0.0529,0.018,0.0048,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.6112,0.1741,4.7211,0.8705,3314,2798,2235,1653,6112,1741,7853,7853,4202,1948,529,180,48
USA,USA,D,10000,0.2977,0.2687,0.2392,0.1944,0.7542,0.7542,0.3864,0.1689,0.0472,0.0145,0.0036,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.5664,0.1878,4.5057,0.5698,2977,2687,2392,1944,5664,1878,7542,7542,3864,1689,472,145,36
Austria,AUT,J,10000,0.1163,0.4002,0.3263,0.1572,0.7339,0.7339,0.2383,0.0967,0.0343,0.01,0.0033,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.5165,0.2174,4.0935,-0.2364,1163,4002,3263,1572,5165,2174,7339,7339,2383,967,343,100,33
IR Iran,IRN,G,10000,0.2362,0.3647,0.323,0.0761,0.8518,0.8518,0.4211,0.1606,0.0398,0.0095,0.002,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.6009,0.2509,4.8327,1.1365,2362,3647,3230,761,6009,2509,8518,8518,4211,1606,398,95,20
Norway,NOR,I,10000,0.091,0.2715,0.3972,0.2403,0.6189,0.6189,0.2808,0.0987,0.032,0.0089,0.002,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.3625,0.2564,3.5093,-1.1332,910,2715,3972,2403,3625,2564,6189,6189,2808,987,320,89,20
South Korea,KOR,A,10000,0.2577,0.3066,0.2604,0.1753,0.7606,0.7606,0.3679,0.1295,0.0354,0.0078,0.0019,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.5643,0.1963,4.4972,0.5201,2577,3066,2604,1753,5643,1963,7606,7606,3679,1295,354,78,19
Australia,AUS,D,10000,0.2143,0.2447,0.2647,0.2763,0.6557,0.6557,0.2934,0.1097,0.0282,0.008,0.0017,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.459,0.1967,3.8977,-0.3129,2143,2447,2647,2763,4590,1967,6557,6557,2934,1097,282,80,17
