strength_diff_bin,n_matches,accuracy,brier_score,log_loss,avg_predicted_favorite_win_prob,actual_favorite_win_rate
0-100,575,0.4469565217391304,0.6468148420126978,1.0708609721578801,0.43857285920121797,0.4469565217391304
100-200,580,0.5586206896551724,0.586421025516232,0.9859436186961551,0.570760191797277,0.5586206896551724
200-300,499,0.685370741482966,0.4734109511672887,0.8198466852190142,0.692682769144275,0.685370741482966
300-500,318,0.8333333333333334,0.28292259902378963,0.5329686851867869,0.8044187060495911,0.8333333333333334
500+,17,1.0,0.016285783336330347,0.10382301920691868,0.9014690330359435,1.0
